Date,Forecast
2018-09-23,57053.82512631784
2018-09-30,35191.62262589389
2018-10-07,17658.85260943513
2018-10-14,15261.227151786625
2018-10-21,29790.884263200598
2018-10-28,51349.241920349945
2018-11-04,65299.22933552372
2018-11-11,64564.47240928689
2018-11-18,55785.688089942094
2018-11-25,52077.33147269345
2018-12-02,58778.39148148397
2018-12-09,67178.52530418389
2018-12-16,63680.1183382727
2018-12-23,45037.20742508799
2018-12-30,22931.590203454616
2019-01-06,12455.82235118936
2019-01-13,16965.90945904209
2019-01-20,25862.446256804018
2019-01-27,27234.40204137218
2019-02-03,20699.938261288476
2019-02-10,16245.938181793314
2019-02-17,21438.6317357857
2019-02-24,32433.596839776703
2019-03-03,38845.73679938516
2019-03-10,35888.82398450711
2019-03-17,29247.384293852745
